,skootar_id,normal_job,car_night,rbh_night,skt_job,night,full_time,purchasing_service,cheque_collecting,promptpay,pay_lte_100,need_food_box,doc_processing,schedule,level
9634,SE0681,57,57,1,0,0,0,0,0,0,0,0,0,0,0.0
9635,SE1094,257,257,0,0,0,0,0,0,0,0,0,0,0,0.0
9636,SE0659,187,187,1,0,0,0,0,0,0,0,0,0,0,0.0
9637,SD9164,11,11,0,0,0,0,0,0,0,0,0,0,0,0.0
9638,SE0557,27,27,0,0,0,0,0,0,0,0,0,0,0,0.0
9639,SE0406,40,40,2,0,0,0,0,0,0,0,0,0,0,0.0
9640,SE0798,27,27,0,0,0,0,0,0,0,0,0,0,0,0.0
9641,SE0799,146,146,12,0,0,0,0,0,0,0,0,0,0,0.0
9642,SE0839,115,115,51,0,0,0,0,0,0,0,0,0,0,0.0
9643,SE0608,406,406,0,0,0,0,0,0,0,0,0,0,0,0.0
9644,SE1109,302,302,42,0,0,0,0,0,0,0,0,0,0,1.0
9645,SE0777,94,94,7,0,0,0,0,0,0,0,0,0,0,0.0
9646,SD7344,113,113,15,0,0,0,0,0,0,0,0,0,0,0.0
9647,SE1165,66,66,16,0,0,0,0,0,0,0,0,0,0,0.0
9648,SD6198,73,73,1,0,0,0,0,0,0,0,0,0,0,0.0
9649,SE0565,207,207,3,0,0,0,0,0,0,0,0,0,0,0.0
9650,SB6696,61,61,0,0,0,0,0,0,0,0,0,0,0,0.0
9651,SC0338,2,2,0,0,0,0,0,0,0,0,0,0,0,0.0
9652,SE1353,99,99,13,0,0,0,0,0,0,0,0,0,0,0.0
9653,SE0826,79,79,1,0,0,0,0,0,0,0,0,0,0,0.0
9654,SE0719,297,297,43,0,0,0,0,0,0,0,0,0,0,0.0
9655,SD7543,100,100,26,0,0,0,0,0,0,0,0,0,0,0.0
9656,SE0808,414,414,37,0,0,0,0,0,0,0,0,0,0,0.0
9657,SE0788,160,160,0,0,0,0,0,0,0,0,0,0,0,0.0
9658,SA9656,140,140,0,0,0,0,0,0,0,0,0,0,0,0.0
9659,SE1388,7,7,1,0,0,0,0,0,0,0,0,0,0,0.0
9660,SE1466,20,20,0,0,0,0,0,0,0,0,0,0,0,0.0
9661,SB7816,187,187,3,1,0,0,0,0,0,1,0,0,0,0.0
9662,SA7716,37,37,0,0,0,0,0,0,0,0,0,0,0,0.0
9663,SE0875,110,110,0,0,0,0,0,0,0,0,0,0,0,0.0
9664,SE0159,410,410,105,0,0,0,0,0,0,0,0,0,0,0.0
9665,SE0643,278,278,53,0,0,0,0,0,0,0,0,0,0,0.0
9666,SD0444,8,8,0,0,0,0,0,0,0,0,0,0,0,0.0
9667,SE1116,230,230,9,0,0,0,0,0,0,0,0,0,0,0.0
9668,SB5001,233,233,74,6,0,0,0,0,0,3,5,0,3,1.0
